,Dialogue
21396,"and she's feeding you strawberries?
"
21397,"- Isn't that what happened to you?
"
21398,"- Yeah!
"
21399,"I call that ""London style. ""
"
21400,"That didn't happen with us.
"
21401,"Maybe you should say it is,
"
21402,"because ""London style"" sounds nice.
"
21403,"Okay, uh... .
"
21404,"I was sad that night because
"
21405,"this guy thought I was Ross' mom.
"
21406,"And Chandler was really sweet
"
21407,"and he consoled me and...
"
21408,"...we drank too much.
"
21409,"- Yeah, baby.
"
21410,"I was a gentleman and I walked her to
"
21411,"her hotel room and said good night.
"
21412,"Oh.
"
21413,"- But then, later that night...
"
21414,"- Yeah, baby.
"
21415,"Cute P.J.s. Really living it up
"
21416,"here in London, huh?
"
21417,"Well, I wasn't exactly
"
21418,"expecting company after...
"
21419,"...9:15.
"
21420,"Is Joey here?
"
21421,"Last I saw he was with a bridesmaid
"
21422,"and a bucket of strawberries.
"
21423,"You're not still upset about
"
21424,"what that guy told you, are you?
"
21425,"Wouldn't you be?
"
21426,"It's been a really emotional time
"
21427,"and you've had a lot to drink... .
"
21428,"You have to let that go, okay?
"
21429,"You were the most beautiful
"
21430,"woman in the room tonight.
"
21431,"Really?
"
21432,"You kidding? You're the most
"
21433,"beautiful woman in most rooms...
"
21434,"Whoa, what's going on?
"
21435,"We just made out.
"
21436,"- We're making out?
"
21437,"- Not anymore.
"
21438,"- But we don't do that.
"
21439,"- I know, I thought it would be fun.
"
21440,"How drunk are you?
"
21441,"Enough to know I want to do this. Not
"
21442,"so much that you should feel guilty.
"
21443,"That's the perfect amount.
"
21444,"- You know what's weird?
"
21445,"- What?
"
21446,"- This doesn't feel weird.
"
21447,"- I know.
"
21448,"- You're a really good kisser.
"
21449,"- Well, I have kissed over four women.
"
21450,"Want to get under the covers?
"
21451,"Okay.
"
21452,"Wow, you are really fast!
"
21453,"It bodes well for me
"
21454,"that speed impresses you.
"
21455,"- We're gonna see each other naked.
"
21456,"- Yep.
"
21457,"- At the same time?
"
21458,"- Count of three?
"
21459,"One, two, three.
"
21460,"Well, I think it's safe to say
"
21461,"our friendship is effectively ruined.
"
21462,"Eh, we weren't that close anyway.
"
21463,"Joey, Joey, Joey...!
"
21464,"Hey.
"
21465,"Hey, Joe.
"
21466,"I was just watching a movie... .
"
21467,"Oh, dude, I'm so sorry.
"
21468,"No!
"
21469,"It's cool, I'm still
"
21470,"with my bridesmaid.
"
21471,"Where are the condoms?
"
21472,"In my bag over there.
"
21473,"Could you leave me one?
"
21474,"For just you?
"
21475,"Yeah.
"
21476,"All right. There you go, buddy.
"
21477,"Go nuts.
"
21478,"That's what that was?
"
21479,"If I hadn't left you one, you two
"
21480,"might've never gotten together.
"
21481,"Imagine if I had sent that hooker
"
21482,"like I was gonna?
"
21483,"It's like it was in the stars.
"
21484,"Yeah, totally meant to be.
"
21485,"Tell him who you originally
"
21486,"wanted to hook up with that night.
"
21487,"- What?
"
21488,"- What?
"
21489,"What?
"
21490,"Who did you originally
"
21491,"want to hook up with?
"
21492,"Okay, fine, but please don't be upset.
"
21493,"I was really depressed, okay?
"
21494,"And really drunk.
"
21495,"I wanted something stupid and
"
21496,"meaningless. I just wanted sex.
"
21497,"So, when I went to your
"
21498,"room that night...
"
21499,"...I was actually looking for Joey.
"
21500,"Yeah, baby.
"
21501,"No, baby.
"
21502,"Oh, my God.
"
21503,"You came looking for Joey?
"
21504,"- Were you planning on telling me this?
"
21505,"- No, I didn't think it was important.
"
21506,"It's not important?
"
21507,"It's not important?
"
21508,"If it wasn't for a bridesmaid,
"
21509,"you'd be marrying him.
"
21510,"Do you know how unbelievably
"
21511,"glad I am that Joey wasn't there?
"
21512,"Hey!
"
21513,"I'm a man of the cloth
"
21514,"but I still have feelings.
"
21515,"There's no way you're
"
21516,"doing this wedding now, okay?
"
21517,"What? That's not fair.
"
21518,"It's not my fault.
"
21519,"I was with my bridesmaid.
"
21520,"And who's to say
"
21521,"I would've said yes?
"
21522,"I mean, I would've said yes.
"
21523,"You are making way too
"
21524,"big a deal out of this.
"
21525,"Everything worked out okay.
"
21526,"It's just weird, okay?
"
21527,"I don't want to be saying my vows with
"
21528,"the mental image of you and Monica.
"
21529,"I need... I don't know what I need.
"
21530,"I need a walk.
"
21531,"- Wait, Chandler, it's not a big deal.
"
21532,"- It is to me.
"
21533,"You wanted to sleep with Batman
"
21534,"and settled for Robin.
"
21535,"- This is crazy.
"
21536,"- No, Robin is so gay.
"
21537,"- So now what have we agreed?
"
21538,"- No more pranks.
"
21539,"- What else?
"
21540,"- You and Daddy were not on a break.
"
21541,"Very good.
"
21542,"Rachel, what are you doing here?
"
21543,"I'm just visiting
"
21544,"my good friend Carol.
"
21545,"- Your good friend?
"
21546,"- Yeah.
"
21547,"What's her last name?
"
21548,"Carol...
"
21549,"...Lesbian.
"
21550,"- Nice.
"
21551,"By the way, that line down my face... .
"
21552,"The line that prompted a student
"
21553,"in my last class of the day to say:
"
21554,"""Dude, don't you ever wash your face?""
"
21555,"I'm sorry I didn't tell you.
"
21556,"I don't want you teaching my son
"
21557,"that stuff anymore.
"
21558,"- Okay?
"
21559,"- Fine. Fine.
"
21560,"Once I taught him that stuff,
"
21561,"he called me ""fun Aunt Rachel. ""
"
21562,"And I loved being fun Aunt Rachel.
"
21563,"I'm glad you guys were bonding but...
"
21564,"Look, he doesn't have any siblings.
"
21565,"Somebody has to teach him this stuff.
"
21566,"I haven't taught him anything
"
21567,"a normal 6-year-old doesn't know.
"
21568,"- Crap!
"
21569,"- I gotta go.
"
21570,"- Hey.
"
21571,"- Hey.
"
21572,"You want this scone? It came for me
"
21573,"but it would rather sleep with you.
"
21574,"Nothing even happened.
"
21575,"I just don't want you to be upset.
"
21576,"How can I not be upset?
"
21577,"I finally fall in love
"
21578,"with this fantastic woman...
"
21579,"...and it turns out
"
21580,"she wanted you first.
"
21581,"Yeah, for like a half an hour
"
21582,"one night.
"
21583,"Chandler, she wants you
"
21584,"for the rest of her life.
"
21585,"We look at you and we
"
21586,"see you together, and it just...
"
21587,"...it fits, you know?
"
21588,"And you just know
"
21589,"it's gonna last forever.
"
21590,"That's what you should say.
"
21591,"What?
"
21592,"When you're marrying us,
"
21593,"that's what you should say.
"
21594,"Really? I could do it?
"
21595,"I'd love you to do it.
"
21596,"Hey.
"
21597,"But those are the words.
"
21598,"Those exact words.
"
21599,"Well, I don't remember exactly but...
"
21600,"...it's pretty much about having
"
21601,"and giving and sharing and receiving.
"
21602,"- So you guys doing okay?
"
21603,"- Yeah.
"
21604,"We talked and Monica made me
"
21605,"see that I overreacted a little bit.
"
21606,"- Some things are more important.
"
21607,"- Yeah, baby.
"
21608,"I'm really glad you guys are okay,
"
21609,"but I just keep thinking...
"
21610,"...what would've happened
"
21611,"if you two had hooked up.
"
21612,"Honey, dinner's ready!
"
21613,"What's my little chef
"
21614,"got for me tonight?
"
21615,"- Your favorite.
"
21616,"- Ho, ho, ho...
"
21617,"...fried stuff with cheese.
"
21618,"And lots of it!
"
21619,"Thanks, sweetheart.
"
21620,"Give me a little sugar... .
"
21621,"Here we go, here we go, here we go.
"
21622,"How you doing?
"
21623,"- Hey.
"
21624,"- Hey!
"
21625,"I'm sorry to do this again, but
"
21626,"could you look after Ben for a bit?
"
21627,"I've got this meeting at school...
"
21628,"...and he asked for his
"
21629,"fun Aunt Rachel.
"
21630,"Well, of course I will watch him.
"
21631,"We have fun, don't we, Ben?
"
21632,"- See you later, pal.
"
21633,"- Okay.
"
21634,"Wait a minute. Ben, I can't do it.
"
21635,"- You got something on your back.
"
21636,"- What?
"
21637,"That's great. That is great.
"
21638,"What did we just finish
"
21639,"talking about, Ben?
"
21640,"""What did we just finish
"
21641,"talking about, Ben?""
"
21642,"That's it! Come here!
"
21643,"- You're in big trouble, young man!
"
21644,"- No, wait.
"
21645,"Ben, come here! I am not kidding!
"
21646,"You guys, hold it. Seriously...
"
21647,"Oh, my God!
"
21648,"<font color=""#ffff00"" size=14>www.tvsubtitles.net
"
21649,"The caterer sent me this list of 12
"
21650,"appetizers. I have to narrow it to 6.
"
21651,"Food? Oh, give me.
"
21652,"Did Monica mention we're trying to get
"
21653,"The Swing Kings to play the wedding?
"
21654,"You're into swing music?
"
21655,"I used to go all over town
"
21656,"listening to bands.
"
21657,"- Chandler?
"
21658,"- Gap commercial.
"
21659,"- Did you book them? Did you call?
"
21660,"- I will.
"
21661,"- You want me to call?
"
21662,"- I'll do it. You stick to your job.
"
21663,"- What is your job?
"
21664,"- Staying out of the way.
"
21665,"This is impossible.
"
21666,"Why don't you just pick all 15?
"
21667,"- There were only 12.
"
21668,"- Oh, yeah, I added 3.
"
21669,"What are ""peanut-butter fingers""?
"
21670,"The One With the Cheap Wedding Dress
"
21671,"English Subtitles by
"
21672,"SDI Media Group
"
21673,"Well, hello.
"
21674,"She's cute.
"
21675,"Should we go talk to her?
"
21676,"Sure. Being engaged, I'm not nervous
"
21677,"to talk to pretty girls anymore.
"
21678,"Could you guys help me?
"
21679,"Yeah, let me get that for you.
"
21680,"- It's really heavy.
"
21681,"- I got it.
"
21682,"So hi, I'm Ross,
"
21683,"and this is my friend, Chandler.
"
21684,"I'm Kristen.
"
21685,"Hi. Are you new to the area?
"
21686,"I'd love to show you
"
21687,"around sometime.
"
21688,"I actually just moved
"
21689,"from four blocks over.
"
21690,"But this block is like another world.
"
21691,"Actually, it does have
"
21692,"a very interesting history.
"
21693,"This street is the first in the city
"
21694,"to have an underground sewer system.
"
21695,"Before that, sewage and waste...
"
21696,"...would just flow
"
21697,"right down the street.
"
21698,"Sometimes ankle-deep.
"
21699,"Smooth.
"
21700,"Excuse me?
"
21701,"You're gonna be starving after moving.
"
21702,"What do you say I take you to dinner?
"
21703,"- I'd like that.
"
21704,"- Great.
"
21705,"Let me take this up.
"
21706,"- After you.
"
21707,"- Oh, no. After you.
"
21708,"Oh, my God!
"
21709,"Am I crazy, or does this totally go?
"
21710,"Oh, my God! You look so beautiful!
"
21711,"Thank you, Rachel.
"
21712,"But look at Monica!
"
21713,"This is it. Yeah, this is the one.
"
21714,"I can't believe I found it.
"
21715,"Wow, you look so beautiful.
"
21716,"If I knew you, I'd cry.
"
21717,"I'm Monica Geller. Ball like a baby.
"
21718,"I'm Megan Bailey.
"
21719,"- Have you found your dress?
"
21720,"- These dresses are amazing...
"
21721,"...but I couldn't afford one.
"
21722,"- I can't either.
"
21723,"I'm here to figure out the one I want,
"
21724,"then I'll get it at Kleinman's.
"
21725,"They're having a huge sale.
"
21726,"- Thanks for the tip.
"
21727,"- When are you getting married?
"
21728,"- I'm not. I just like to try them on.
"
21729,"- I do the same thing.
"
21730,"I'm just kidding.
"
21731,"I'm getting married July 25th.
"
21732,"I'm just kidding too.
"
21733,"I'm getting married in December.
"
21734,"- When are you getting married?
"
21735,"- May 15th.
"
21736,"It's close.
"
21737,"Who's your photographer?
"
21738,"- Jeffrey.
"
21739,"- We met with him.
"
21740,"- Did he show you nude wedding photos?
"
21741,"- The Best Man? Wow!
"
21742,"I know.
"
21743,"I almost called off my wedding.
"
21744,"- Who's your band?
"
21745,"- My fianc� wants The Swing Kings.
"
21746,"You're lucky. My fianc� wants
"
21747,"the heavy metal band, Carcass.
"
21748,"Is that spelled with a ""C"" or a ""K""?
"
21749,"It doesn't matter, they're both great!
"
21750,"Oh, don't buy that here.
"
21751,"Now that you know what you want,
"
21752,"go to Kleinman's.
"
21753,"This place is so overpriced.
"
21754,"I own this store.
"
21755,"So does this come
"
21756,"in another color, or... .
"
21757,"Hi. You moving in or moving out?
"
21758,"- Moving in.
"
21759,"- Can I help out?
"
21760,"Okay, but be careful. The guy who was
"
21761,"helping before hurt his back.
"
21762,"- Boyfriend?
"
21763,"- No.
"
21764,"I'm Joey.
"
21765,"Kristen.
"
21766,"What a beautiful name.
"
21767,"What is it again?
"
21768,"Kristen.
"
21769,"- You live around here?
"
21770,"- Right down there.
"
21771,"Let me give you a tip.
"
21772,"Don't take a nap on this stoop.
"
21773,"You could wake up without shoes.
"
21774,"I'll remember that.
"
21775,"Listen, would you like
"
21776,"to have dinner with me tonight?
"
21777,"I have plans tonight.
"
21778,"How about tomorrow?
"
21779,"Sounds great.
"
21780,"Well, where does this go?
"
21781,"You look strong.
"
21782,"Why don't you grab one of the boxes.
"
21783,"Yeah, I'll get this one.
"
21784,"So this is Brooklyn?
"
21785,"Listen up. There's only
"
21786,"one dress in each size.
"
21787,"So when they open those doors,
"
21788,"fan out.
"
21789,"This is what you're looking for.
"
21790,"Memorize it.
"
21791,"When you locate the dress,
"
21792,"blow on these, all right?
"
21793,"Three sharp blasts.
"
21794,"When you hear it, come running.
"
21795,"Here he comes!
"
21796,"- They're pushing!
"
21797,"- Don't be a baby!
"
21798,"- Out of the way!
"
21799,"- Let's go!
"
21800,"Rachel?! Come on!
"
21801,"No, not it. Not it. Not it.
"
21802,"Don't crowd me.
"
21803,"This is it! This is the dress!
"
21804,"It's perfect!
"
21805,"I'm sorry, this one's taken!
"
21806,"- Megan!
"
21807,"- Monica!
"
21808,"- You came!
"
21809,"- Yeah!
"
21810,"- This is my dress!
"
21811,"- No!
"
21812,"- You saw me wearing it.
"
21813,"- And now you'll see me buying it.
"
21814,"You freak!
"
21815,"You wouldn't even know
"
21816,"about this place without me.
"
21817,"- Look, you don't want to fight me.
"
21818,"- Maybe I do. I'm pretty feisty!
"
21819,"- I'm coming! I'm coming!
"
21820,"- Hey!
"
21821,"Okay! Hey? Oh, what do I do?!
"
21822,"What are you doing?
"
21823,"Did you find the dress?
"
21824,"Did you find the dress?
"
21825,"No. You gotta get me out of here.
"
21826,"- We've gotta get Monica.
"
21827,"- You hold my hand!
"
21828,"Excuse me! Excuse me!
"
21829,"Go! Go! Go!
"
21830,"How was your date the other night?
"
21831,"Did you tell her about the magical
"
21832,"ride that starts with every flush?
"
21833,"Laugh all you want, but she said
"
21834,"she'd like to go out again.
"
21835,"In fact, I'll go call her right now.
"
21836,"And I'll make sure and tell her my
"
21837,"friend Chandler says... .
"
21838,"Sorry I didn't stop by last
"
21839,"night, but I had a date.
"
21840,"When it's 1:00 in the morning and you
"
21841,"don't come by, that's okay.
"
21842,"It was with this really hot girl
"
21843,"who moved in across the street.
"
21844,"- Right across the street?
"
21845,"- Yeah.
"
21846,"- When did you meet her?
"
21847,"- Two days ago.
"
21848,"Excellent!
"
21849,"You know, Ross met somebody too.
"
21850,"- Hey.
"
21851,"- How'd it go?
"
21852,"We're going out again Saturday.
"
21853,"But I found out she's
"
21854,"also seeing some other guy.
"
21855,"Really?
"
21856,"Joe, what would you do
"
21857,"if you were in Ross' situation?
"
21858,"I am. I'm dating this girl
"
21859,"who's also seeing another guy.
"
21860,"But I'm not worried about it.
"
21861,"You shouldn't be. I wouldn't want
"
21862,"to be the guy who's up against you.
"
21863,"I mean, that doofus is going to lose.
"
21864,"So this is nice.
"
21865,"I wish I didn't have to go.
"
21866,"Believe me.
"
21867,"But I have to.
"
21868,"So, what's the name
"
21869,"of the girl you're dating?
"
21870,"- Kristen Leigh.
"
21871,"- Bye.
"
21872,"Well, only one of us
"
21873,"can keep dating her.
"
21874,"Obviously. So how do we decide?
"
21875,"Well, now,
"
21876,"let's look at this objectively.
"
21877,"I think I should date her.
"
21878,"Or I'm the one who dates her.
"
21879,"That's interesting.
"
21880,"But check this out. I date her.
"
21881,"Okay, but to go
"
21882,"in another direction...
"
21883,"Okay. This can go on for a while.
"
21884,"- We should order some food then.
"
21885,"- No, Joey.
"
21886,"Look, why don't we
"
21887,"just let her decide, okay?
"
21888,"We'll each go out with her
"
21889,"one more time.
"
21890,"And we'll see who she likes best.
"
21891,"That sounds fair.
"
21892,"Maybe I'll take her
"
21893,"to that new French restaurant.
"
21894,"Wait a second.
"
21895,"We have to set a spending limit.
"
21896,"I can't take her
"
21897,"to a fancy place like that.
"
21898,"Well, sorry.
"
21899,"That's what I do on dates.
"
21900,"Well, I guess I'll just have to do
"
21901,"what I do on dates.
"
21902,"- So let's decide on a spending limit.
"
21903,"- Yeah.
"
21904,"And a slice...
"
21905,"...six dollars?
"
21906,"- I was thinking more like 100.
"
21907,"- Okay.
"
21908,"Can I borrow 94 dollars?
"
21909,"I know. Can you hand me a tissue?
"
21910,"You're out of Diet Coke.
"
21911,"Hello?
"
21912,"What? You what?
"
21913,"You listen here, missy!
"
21914,"Megan booked The Swing Kings
"
21915,"on the day of our wedding...
"
21916,"...and said she'd only
"
21917,"give them back for the dress!
"
21918,"Does that mean Carcass is available?
"
21919,"What am I gonna do? That's the dress!
"
21920,"That is ""the"" dress!
"
21921,"Chandler wants the band.
"
21922,"What do I do?
"
21923,"- Figure out how to talk him out of it.
"
21924,"- How?
"
21925,"You're out of toilet paper!
"
21926,"I wanted to wish you good luck
"
21927,"on your date.
"
21928,"- Thanks.
"
21929,"- What time are you meeting?
"
21930,"We have reservations
"
21931,"at Grand Merci Bistro at 8.
"
21932,"That's in 20 minutes.
"
21933,"You'd better get dressed.
"
21934,"- I am dressed.
"
21935,"- Oh, well, good.
"
21936,"For me.
"
21937,"What's this?
"
21938,"Did you give yourself a facial?
"
21939,"I have an oily T-zone.
"
21940,"Okay, dude.
"
21941,"- You sent Kristen flowers?
"
21942,"- That's right.
"
21943,"You spent 100 dollars.
"
21944,"That's the limit. You're screwed!
"
21945,"I sent the flowers before
"
21946,"the actual date, so technically...
"
21947,"...I didn't break any rules.
"
21948,"Thanks for stopping by though.
"
21949,"That's how it's gonna be?
"
21950,"I can break the rules too.
"
21951,"- What are you gonna do?
"
21952,"- I don't know.
"
21953,"- I'm not surprised.
"
21954,"- You won't get away with this.
"
21955,"- You don't have much choice.
"
21956,"- We'll see!
"
21957,"Hey! So, just a light layer?
"
21958,"Yeah, just here and there.
"
21959,"Joey got meat sauce
"
21960,"on the banister again.
"
21961,"Swing music is so out.
"
21962,"He's gotta be in the room
"
21963,"for that to work.
"
21964,"What are you guys talking about?
"
21965,"We're talking about The Swing Kings...
"
21966,"...and whether they're
"
21967,"the right way to go.
"
21968,"I went to a wedding
"
21969,"where they had swing music...
"
21970,"...two months later
"
21971,"the couple divorced.
"
21972,"I'm not saying
"
21973,"there's any connection here...
"
21974,"...but they did say
"
21975,"that's why they got divorced.
"
21976,"But I love swing music!
"
21977,"But The Swing Kings?
"
21978,"They suck so much that people die at
"
21979,"their concerts. They stop living.
"
21980,"When Monica and I went to see them,
"
21981,"we had fun.
"
21982,"And there's another reason.
"
21983,"- Well, what is the other reason?
"
21984,"- I don't want to say.
"
21985,"Well, you have to,
"
21986,"because maybe it's stupid.
"
21987,"It's just, while Monica and I
"
21988,"were dancing to them...
"
21989,"...it was the first time
"
21990,"I knew that...
"
21991,"...you were the woman that I wanted
"
21992,"to dance all my dances with.
"
21993,"Oh, crap.
"
21994,"- Our table will be ready soon.
"
21995,"- Oh, great.
"
21996,"- Is your back feeling better?
"
21997,"- That's fine.
"
21998,"I guess the more muscles you have...
"
21999,"...the more they can
"
22000,"spasm out of control.
"
22001,"- Kristen?
"
22002,"- Joey!
"
22003,"- What are you doing here?
"
22004,"- I like this place.
"
22005,"And technically, I'm not
"
22006,"breaking any rules, so... .
"
22007,"Well, Ross, this is Joey.
"
22008,"Joey, Ross.
"
22009,"- Hi.
"
22010,"- Hi. It's nice to meet you.
"
22011,"I used to have a friend named Joey.
"
22012,"I don't anymore.
"
22013,"Our table will be ready
"
22014,"in a couple minutes.
"
22015,"Sure! I would love
"
22016,"to wait with you guys! Thanks!
"
22017,"So, Joey, you look familiar.
"
22018,"Are you on TV or something?
"
22019,"He doesn't like to talk about it...
"
22020,"...but he's one of the stars
"
22021,"of Days of Our Lives. 
"
22022,"That's right. Don't you play a woman?
"
22023,"A woman in a man's body.
"
22024,"Much better.
"
22025,"It's funny, because you
"
22026,"look familiar to me too.
"
22027,"Have you ever been married?
"
22028,"Yes, I have.
"
22029,"In fact, just the other day...
"
22030,"...Kris and I talked about how
"
22031,"I've been married and have a son.
"
22032,"- Little Eric.
"
22033,"- That's right. Wait. No, Ben.
"
22034,"So you've just been married
"
22035,"the one time then?
"
22036,"- Well... .
"
22037,"- You've been married twice?
"
22038,"Yes. And...
"
22039,"...another time after that.
"
22040,"Boy, I'm getting hungry.
"
22041,"Have you ever been so hungry
"
22042,"on a date...
"
22043,"...that when the girl goes to the
"
22044,"bathroom, you eat her food?
"
22045,"You said the waiter ate my crab cake.
"
22046,"So, Ross, now why did
"
22047,"that first marriage break up?
"
22048,"Was it because the woman was straight
"
22049,"or because she was a lesbian?
"
22050,"- Do you two know each other?
"
22051,"- No.
"
22052,"But he seems like
"
22053,"a guy who'd marry a woman...
"
22054,"...on the verge of being a lesbian
"
22055,"and then push her over the edge.
"
22056,"Wait a minute!
"
22057,"Were you on a poster for gonorrhea?
"
22058,"Have you ever slept
"
22059,"in the same bed with a monkey?
"
22060,"You leave Marcel out of this!
"
22061,"Fine! You ever gotten stuck
"
22062,"in a pair of leather pants?
"
22063,"Have you ever locked yourself
"
22064,"in a TV cabinet, VD-boy?
"
22065,"Monkey-lover!
"
22066,"Where do you think we lost her?
"
22067,"Probably around gonorrhea.
"
22068,"- Hi, honey, I'm home!
"
22069,"- Don't come in here!
"
22070,"Why, do you have another
"
22071,"boyfriend in there?
"
22072,"No. We only mess around at his place.
"
22073,"I started it, but now it's scaring me,
"
22074,"so could you come out here?
"
22075,"I'm wearing a wedding dress.
"
22076,"You got a wedding dress?
"
22077,"- Yeah, but I'm not keeping it.
"
22078,"- Then why can't I see it?
"
22079,"Oh. I guess you can.
"
22080,"But I have to return it,
"
22081,"so you can't like it.
"
22082,"Okay, I promise. I'll hate it.
"
22083,"Wow. You look hideous.
"
22084,"Really?
"
22085,"Yeah. That's like the most
"
22086,"ugliest dress I've ever seen.
"
22087,"Why do you have to return it?
"
22088,"Because it doesn't really fit.
"
22089,"Oh, I booked The Swing Kings.
"
22090,"Oh, that's great. Thanks.
"
22091,"But that dress is terrible.
"
22092,"- It makes me want to rip it off you.
"
22093,"- Okay.
"
22094,"But you can't rip it.
"
22095,"Well, maybe a little.
"
22096,"Guys, you want to look
"
22097,"at the song list for the wedding?
"
22098,"Guys?
"
22099,"I thought you'd be gone all day.
"
22100,"All right, what's going on?
"
22101,"I'm sorry. I should probably
"
22102,"leave you girls alone.
"
22103,"Laugh all you want, but in 10 minutes
"
22104,"we'll have younger-looking skin.
"
22105,"You know, she could use a little... .
"
22106,"Oh, nice shot! Yeah!
"
22107,"<font color=""#ffff00"" size=14>www.tvsubtitles.net
"
22108,"Guys, you won't believe this!
"
22109,"- I just talked to my agent...
"
22110,"- Oh, my God!
"
22111,"I'm sorry. Too soon. You go.
"
22112,"I got nominated for
"
22113,"Days of Our Lives!
"
22114,"- Good for you!
"
22115,"- Congratulations!
"
22116,"I can't believe you're nominated
"
22117,"for an Emmy!
"
22118,"- Soap Opera Digest Award?
"
22119,"- No. I'm up for a ""Soapie. ""
"
22120,"Is that something you're making up?
"
22121,"No, no, no, it's real!
"
22122,"And it has been, since 1998.
"
22123,"I'm up for a Soapie!
"
22124,"Oh, my God!
"
22125,"My God! That's the third most
"
22126,"prestigious soap opera award there is!
"
22127,"Thank you! I guess we know
"
22128,"who I'll take to the awards!
"
22129,"Don't kid about that!
"
22130,"Will all the stars be there?
"
22131,"Many are scheduled to appear.
"
22132,"- I can't go. I'll be too nervous!
"
22133,"- I'll go.
"
22134,"You're getting married.
"
22135,"This is all I have.
"
22136,"The One With Joey's Award
"
22137,"English Subtitles by
"
22138,"SDI Media Group
"
22139,"Ernest Muhlbrat hypothesized that the
"
22140,"velociraptor, when threatened...
"
22141,"...would expand its collar and
"
22142,"emit a high-pitched noise...
"
22143,"...to frighten off predators.
"
22144,"Mr. Lewis?
"
22145,"What kind of noise?
"
22146,"Just a high-pitched,
"
22147,"intimidating noise.
"
22148,"But like how?
"
22149,"Well, we don't know for sure.
"
22150,"But in my head,
"
22151,"it sounded something like this:
"
22152,"Of course, this is just conjecture.
"
22153,"Okay. That's all for today.
"
22154,"Mr. Morse,
"
22155,"can I see you for a moment?
"
22156,"Yes, sir?
"
22157,"I need to talk to you
"
22158,"about your midterm exam.
"
22159,"- I'm afraid I had to fail you.
"
22160,"- Why?
"
22161,"Well, you need 60% to pass.
"
22162,"- What did I get?
"
22163,"- Seven.
"
22164,"That's not so good.
"
22165,"No, no, it's not.
"
22166,"What happened, Ned?
"
22167,"Maybe you can cut me some slack.
"
22168,"I'm sort of in love.
"
22169,"I'm sorry, but that's
"
22170,"really not my problem.
"
22171,"I'm in love with you.
"
22172,"That brings me in the loop a little.
"
22173,"That's why I did so bad on this test.
"
22174,"I'm having a hard time concentrating.
"
22175,"When you're up there
"
22176,"and you're teaching...
"
22177,"...and your face gets all serious... .
"
22178,"You look so good. When you wear that
"
22179,"tight little turtleneck sweater...
"
22180,"I'm your teacher. I'm sorry.
"
22181,"You're a student.
"
22182,"And I like women.
"
22183,"In spite of what may be written
"
22184,"on the backs of these chairs.
"
22185,"That guy at the counter's
"
22186,"totally checking you out.
"
22187,"Really?
"
22188,"- Oh, my God, he's really cute!
"
22189,"- Go for it.
"
22190,"Phoebe, I'm engaged.
"
22191,"I'm saying, get his number,
"
22192,"just in case.
"
22193,"But if Chandler's in an accident
"
22194,"and can't perform sexually...
"
22195,"...he'd want you to take a lover to
"
22196,"satisfy needs he'd no longer fulfill.
"
22197,"Can I just tell you something?
"
22198,"I'm very flattered, but I'm engaged.
"
22199,"This is kind of embarrassing.
"
22200,"I actually came over
"
22201,"to talk to your friend.
"
22202,"You should be embarrassed.
"
22203,"- I thought you knew I looked at you.
"
22204,"- I did, but that was really fun.
"
22205,"""The winner is... Joey Tribbiani! ""
"
22206,"""I honestly never expected this.
"
22207,"I didn't prepare a speech.
"
22208,"I'd like to thank my parents,
"
22209,"who've always been there for me.
"
22210,"Also like to thank my friends,
"
22211,"Chandler, Monica, Phoebe, Rachel...""
"
22212,"- I'm fourth?
"
22213,"- Jeez!
"
22214,"Look at you with your
"
22215,"maple syrup award!
"
22216,"Maybe you don't tell anyone
"
22217,"about this?
"
22218,"No big deal.
"
22219,"I do that with my shampoo bottle.
"
22220,"- Really?
"
22221,"- Yeah.
"
22222,"- What award are you practicing for?
"
22223,"- Grammy.
"
22224,"For Best New Artist.
"
22225,"The Soapies people called today.
"
22226,"I also get to present an award.
"
22227,"So you'll get on stage
"
22228,"even if you don't win.
"
22229,"- You don't think I'll win?
"
22230,"- Of course I do.
"
22231,"But Favorite Returning Character?
"
22232,"That's a tough category.
"
22233,"You're up against the guy who
"
22234,"survived his own cremation.
"
22235,"No, I know I might not win.
"
22236,"But it's just... .
"
22237,"I've never been nominated.
"
22238,"I want it so much.
"
22239,"You'll probably get it.
"
22240,"But you should start practicing
"
22241,"your ""gracious-loser"" face.
"
22242,"When the cameras are on you,
"
22243,"you want to look disappointed.
"
22244,"But also that your colleague
"
22245,"deserved to win. Like:
"
22246,"You know?
"
22247,"- You practice losing the Grammys too?
"
22248,"- No, at the Grammys, I always win.
"
22249,"- Hey!
"
22250,"- How'd your date go with Jake?
"
22251,"Great. We couldn't keep
"
22252,"our eyes off each other.
"
22253,"Every once in a while, he'd lean over,
"
22254,"stroke my hair, then touch my neck.
"
22255,"Stop it. You're getting me
"
22256,"all tingly.
"
22257,"All I could think of was,
"
22258,"is he gonna kiss me?
"
22259,"- Did he?
"
22260,"- I'm a lady. I don't kiss and tell.
"
22261,"But this hickey speaks for itself.
"
22262,"Okay, I got it. I got it.
"
22263,"I like him so much, I feel like
"
22264,"I've had 10 drinks today.
"
22265,"I've only had six.
"
22266,"I haven't had that feeling since
"
22267,"I first went out with Chandler.
"
22268,"- I'll never have that feeling again.
"
22269,"- You sound like a guy.
"
22270,"No, a guy would say, ""I'll never
"
