,Dialogue
303,"Demi Moore is not a ""he.""
"
304,"Well, he was a ""he""
"
305,"in Arthur and in 10.
"
306,"That's Dudley Moore!
"
307,"I said I wanted it like Demi Moore!
"
308,"Oh, my God!
"
309,"Oh, God!
"
310,"Oh, my God! I'm sorry!
"
311,"Which one is Demi Moore?
"
312,"She's the actress that was in
"
313,"Disclosure, Indecent Proposal, Ghost!
"
314,"She's got gorgeous hair.
"
315,"I know!
"
316,"How long do you want the cuffs?
"
317,"At least as long as I have the pants.
"
318,"I just got that.
"
319,"Now we'll do your inseam.
"
320,"How is she?
"
321,"It's too soon to tell.
"
322,"She's resting, which is a good sign.
"
323,"How's the hair?
"
324,"I'm not gonna lie to you.
"
325,"It doesn't look good.
"
326,"I put a clip on one side, which seems
"
327,"to have stopped the curling.
"
328,"Can we see her?
"
329,"Your hair looks too good.
"
330,"It'd upset her.
"
331,"Ross, you come on in.
"
332,"Well, how you doing?
"
333,"I'm okay.
"
334,"That bad, huh?
"
335,"Look, I can sense when women
"
336,"are depressed and vulnerable.
"
337,"It's one of my gifts.
"
338,"Joey, when I saw him
"
339,"get off that plane with her...
"
340,"...I really thought
"
341,"I just hit rock bottom.
"
342,"But today, it's like
"
343,"there's rock bottom...
"
344,"...50 feet of crap...
"
345,"...then me.
"
346,"Tell Ross how you feel.
"
347,"Come on, how can I just tell him?
"
348,"What about Julie?
"
349,"What about her? They've only
"
350,"been going out for two weeks.
"
351,"Ross has been in love
"
352,"with you for 10 years.
"
353,"I don't know. I don't know.
"
354,"I've been with my share of women.
"
355,"I've been with a lot
"
356,"of people's share of women.
"
357,"But the point is...
"
358,"...I've never felt about anyone
"
359,"the way Ross felt about you.
"
360,"Really?
"
361,"Yo, paisan!
"
362,"Can I talk to you for a sec?
"
363,"Your tailor...
"
364,"...is a very bad man!
"
365,"What are you talking about?
"
366,"Hey, what's going on?
"
367,"Joey's tailor...
"
368,"...took advantage of me.
"
369,"No way! I've been going
"
370,"to the guy for 12 years.
"
371,"He said he was gonna do my inseam.
"
372,"Then he ran his hand up my leg
"
373,"and then there was definite
"
374,"What?
"
375,"Cupping.
"
376,"That's how they do pants!
"
377,"First they go up one side,
"
378,"they move it over.
"
379,"Then they go up the other side,
"
380,"move it back, then they do the rear.
"
381,"Ross, tell him. Isn't that
"
382,"how a tailor measures pants?
"
383,"Yes, yes, it is.
"
384,"In prison!
"
385,"What's the matter with you?
"
386,"What?
"
387,"That's not?
"
388,"Oh, my God!
"
389,"Even Mary Tyler Moore
"
390,"would've been better.
"
391,"I like it.
"
392,"I do. I think it's a 10!
"
393,"Thank you.
"
394,"My hair is very amused.
"
395,"Come on, things could be worse.
"
396,"You could ""get caught between
"
397,"the moon and New York City.
"
398,"I know it's crazy, but it's true.""
"
399,"Thank you.
"
400,"Well, I gotta go. Bye.
"
401,"Bye, Rach!
"
402,"Wait, are you leaving?
"
403,"That's what I meant by ""bye.""
"
404,"Can I talk to you for a sec?
"
405,"When the doctor does
"
406,"that hernia test...
"
407,"That's okay.
"
408,"What's going on?
"
409,"Well, okay, first of all...
"
410,"...Paolo and I are not back together.
"
411,"That was a stupid thing I did.
"
412,"If I could go back in time
"
413,"and do it again...
"
414,"...well, I wouldn't.
"
415,"Second of all...
"
416,"What?
"
417,"Is this one of those things
"
418,"where you break up with a guy...
"
419,"...I tell you what I think...
"
420,"...and the next day
"
421,"you get back together with him...
"
422,"...and I look like
"
423,"a complete idiot?
"
424,"Well, then, I think the guy's scum.
"
425,"I hate him. I mean, I actually
"
426,"I physically hate him.
"
427,"I always have.
"
428,"And you are way too good
"
429,"to be with a guy like that.
"
430,"Really?
"
431,"You deserve to be with someone
"
432,"who appreciates you...
"
433,"...and who gets how funny...
"
434,"...and sweet and amazing...
"
435,"...and adorable and sexy you are.
"
436,"You know? Someone who wakes up
"
437,"every morning thinking:
"
438,"""Oh, my God. I'm with Rachel!""
"
439,"You know? Someone
"
440,"who makes you feel good.
"
441,"Like the way I do with Julie.
"
442,"Was there a ""second of all""?
"
443,"No, I think that was the whole ""all.""
"
444,"I gotta go.
"
445,"Thanks.
"
446,"No, I swear to God, Dad!
"
447,"That's not how they measure pants!
"
448,"I was thinking of doing it shorter,
"
449,"like Andie MacDowell's haircut.
"
450,"- Yeah, I could do that.
"
451,"- Really?
"
452,"- You wanna do it now?
"
453,"- Great!
"
454,"See you.
"
455,"I just wanna make
"
456,"really sure this time.
"
457,"Andie MacDowell is the girl from
"
458,"Four Weddings and a Funeral, right?
"
459,"No.
"
460,"That's Roddy McDowall.
"
461,"Andie MacDowell is the guy
"
462,"from Planet of the Apes.
"
463,"- Thank you.
"
464,"- You're welcome.
"
465,"<font color=""#ffff00"" size=14>www.tvsubtitles.net
"
466,"These were unbelievely expensive
"
467,"and he'll grow out of them...
"
468,"...in 20 minutes,
"
469,"but I couldn't resist!
"
470,"Look at these.
"
471,"Hey, Ben.
"
472,"""Just do it""!
"
473,"Oh, my God!
"
474,"Was that too much
"
475,"pressure for him?
"
476,"- Is he hungry already?
"
477,"- I guess so.
"
478,"You know, it's...
"
479,"Something funny about sneakers.
"
480,"I'll be right back.
"
481,"I gotta get one too.
"
482,"Hey, what are you guys doing?
"
483,"We're just hanging out
"
484,"by the spoons.
"
485,"Ladle?
"
486,"Will you guys grow up?
"
487,"This is the most nature beautiful
"
488,"thing in the world.
"
489,"Yeah, we know.
"
490,"But there's a baby sucking on it.
"
491,"This is my son having lunch, okay?
"
492,"It'll happen a lot, so get used to it.
"
493,"If you're uncomfortable,
"
494,"just ask questions.
"
495,"Carol's fine with it.
"
496,"Carol?
"
497,"I'm wondering, could Joey ask you
"
498,"a question about breast-feeding?
"
499,"Sure.
"
500,"Does it hurt?
"
501,"It did at first, but not anymore.
"
502,"Chandler?
"
503,"So, how often can you do it?
"
504,"As much as he needs.
"
505,"Okay, I got one, I got one.
"
506,"If he blows into one,
"
507,"does the other one get bigger?
"
508,"The One With the Breast Milk
"
